Fee explanation,,,,,,,,,,,,,,,,,,,
Name,Explanation,Formula,,,,,,,,,,,,,,,,,
Statement Date,"Time of settlement, and time zone is UTC",,,,,,,,,,,,,,,,,,
Statement ID,Statement ID,,,,,,,,,,,,,,,,,,
Payment ID,Payment ID,,,,,,,,,,,,,,,,,,
Status,"Statement status, including pending, processing, paid, and failed.",,,,,,,,,,,,,,,,,,
Currency,USD,,,,,,,,,,,,,,,,,,
Type ,Order/adjustment types,,,,,,,,,,,,,,,,,,
Order/adjustment ID  ,Transaction ID,,,,,,,,,,,,,,,,,,
SKU ID,Transaction SKU ID,,,,,,,,,,,,,,,,,,
Quantity,Quantity,,,,,,,,,,,,,,,,,,
Product name,Product name,,,,,,,,,,,,,,,,,,
SKU name,SKU name,,,,,,,,,,,,,,,,,,
Order created date,Creation time of the order as per UTC +0 timezone.,,,,,,,,,,,,,,,,,,
Order delivery date,Delivery time of the order as per UTC +0 timezone.,,,,,,,,,,,,,,,,,,
Total settlement amount,"The total after net sales, fees, adjustments amount are combined.",=A + B + C + D ,,,,,,,,,,,,,,,,,
Net sales,The total revenue with any applicable seller discounts deducted.,A = A1 + A2 + A3 + A4,,,,,,,,,,,,,,,,,
Gross sales,The total revenue before any discounts from the seller or TikTok Shop have been deducted.,A1,,,,,,,,,,,,,,,,,
Gross sales refund,The amount of gross sales refunded to customers.,A2,,,,,,,,,,,,,,,,,
Seller discount,"Seller discounts are the total amount of discounts funded by the seller. These include:
i) Discounts funded by the seller through the seller's promotions (Product Discount, Flash Deal, Buy More Save More, Voucher and Bundle Deal)
ii) Seller's portion of a co-funded voucher discount during the seller's participation in co-funding campaigns
iii) Discounts funded by the seller during a campaign",A3,,,,,,,,,,,,,,,,,
Seller discount refund,Discounts refunded to the seller.,A4,,,,,,,,,,,,,,,,,
Shipping,The debits and credits related to shipping.,B = B1 + B2 + B3 + B4 + B5 + B6 + B7 + B8 + B9 + B10 + B11 + B12 + B13,,,,,,,,,,,,,,,,,
TikTok Shop shipping fee,"The shipping fee carried by the seller for orders fulfilled by TikTok. This fee item will sunset after Aug 26th, 2024",B1,,,,,,,,,,,,,,,,,
Fulfilled by TikTok Shop (FBT) shipping fee,The shipping fee carried by the seller for orders fulfilled by TikTok.,B2,,,,,,,,,,,,,,,,,
Signature confirmation service fee,The fee incurred for packages requiring signature confirmation services,B3,,,,,,,,,,,,,,,,,
Shipping insurance fee,The shipping insurance fee incurred by the seller for purchasing additional TikTok shipping insurance services.,B4,,,,,,,,,,,,,,,,,
